-5.000000000000000000e+00 3.513195299999999577e+01
-3.888888999999999818e+00 2.505603200000000186e+01
-2.777778000000000080e+00 1.726171199999999928e+01
-1.666666999999999899e+00 1.290877199999999903e+01
-5.555560000000000498e-01 9.858783000000000740e+00
5.555560000000000498e-01 1.017661200000000044e+01
1.666666999999999899e+00 1.283369399999999949e+01
2.777778000000000080e+00 1.764384199999999936e+01
3.888888999999999818e+00 2.497930900000000065e+01
5.000000000000000000e+00 3.529954700000000400e+01
